WARNING  mypy.lib.stock.backtrader.backtrader_helper:log.py:113 🟠 pytest 模式, 不显示回测图
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-05, ---> [卖出] 订单编号: 71, 股票名称: , 价格: 40.77, 成交量: -1000.00, 交易金额: 41494.15, 手续费: 40.77
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-05, ----- 本次交易净利: -728.23, 毛利: -789.74
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-05, 收盘价: 41.07, 涨跌幅: 0.44%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-06, 收盘价: 39.97, 涨跌幅: -2.68%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-07, 收盘价: 39.77, 涨跌幅: -0.50%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-08, 收盘价: 39.89, 涨跌幅: 0.30%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-09, 收盘价: 39.68, 涨跌幅: -0.53%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-12, 收盘价: 39.69, 涨跌幅: 0.03%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-13, 收盘价: 39.85, 涨跌幅: 0.40%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-14, <--- [买入] 订单编号: 72, 股票名称: , 价格: 39.88, 成交量: 1000.00, 交易金额: 39883.99, 手续费: 19.94
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-14, 收盘价: 39.56, 涨跌幅: -0.73%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-15, ---> [卖出] 订单编号: 73, 股票名称: , 价格: 39.58, 成交量: -1000.00, 交易金额: 39883.99, 手续费: 39.58
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-15, ----- 本次交易净利: -307.95, 毛利: -367.46
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-15, 收盘价: 40.39, 涨跌幅: 2.10%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-16, <--- [买入] 订单编号: 74, 股票名称: , 价格: 40.39, 成交量: 1000.00, 交易金额: 40394.04, 手续费: 20.20
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-16, 收盘价: 40.68, 涨跌幅: 0.72%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-19, 收盘价: 41.14, 涨跌幅: 1.13%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-20, 收盘价: 40.99, 涨跌幅: -0.36%
INFO     mypy.lib.stock.strategy.base:log.py:105 🟢 2024-08-21, 收盘价: 41.04, 涨跌幅: 0.12%
